"series_key","series_label","variable","transformation","deterministic","n_obs","adf_lag","statistic","critical_1pct","critical_5pct","critical_10pct","conclusion_5pct","note"
"imports","Importaciones reales","ln_imports_real","log_level","trend",76,4,-2.84070184398376,-4.04,-3.45,-3.15,"no rechaza raiz unitaria al 5%","ADF formal con urca::ur.df; tendencia en niveles y constante en diferencias."
"imports","Importaciones reales","d_ln_imports_real","log_difference","drift",75,4,-3.84665136112585,-3.51,-2.89,-2.58,"rechaza raiz unitaria al 5%","ADF formal con urca::ur.df; tendencia en niveles y constante en diferencias."
"exports","Exportaciones reales","ln_exports_real","log_level","trend",76,4,-3.52970430096136,-4.04,-3.45,-3.15,"rechaza raiz unitaria al 5%","ADF formal con urca::ur.df; tendencia en niveles y constante en diferencias."
"exports","Exportaciones reales","d_ln_exports_real","log_difference","drift",75,4,-4.26741477453179,-3.51,-2.89,-2.58,"rechaza raiz unitaria al 5%","ADF formal con urca::ur.df; tendencia en niveles y constante en diferencias."
"gdp_arg","PIB real Argentina","ln_gdp_real","log_level","trend",76,4,-2.9231545464653,-4.04,-3.45,-3.15,"no rechaza raiz unitaria al 5%","ADF formal con urca::ur.df; tendencia en niveles y constante en diferencias."
"gdp_arg","PIB real Argentina","d_ln_gdp_real","log_difference","drift",75,4,-4.03614166092531,-3.51,-2.89,-2.58,"rechaza raiz unitaria al 5%","ADF formal con urca::ur.df; tendencia en niveles y constante en diferencias."
"itcrm","Tipo de cambio real multilateral","ln_itcrm","log_level","trend",76,4,-1.66176024253459,-4.04,-3.45,-3.15,"no rechaza raiz unitaria al 5%","ADF formal con urca::ur.df; tendencia en niveles y constante en diferencias."
"itcrm","Tipo de cambio real multilateral","d_ln_itcrm","log_difference","drift",75,4,-4.12472331093752,-3.51,-2.89,-2.58,"rechaza raiz unitaria al 5%","ADF formal con urca::ur.df; tendencia en niveles y constante en diferencias."
"pib_socios","PIB socios comerciales","ln_pib_socios","log_level","trend",76,4,-1.98164188818702,-4.04,-3.45,-3.15,"no rechaza raiz unitaria al 5%","ADF formal con urca::ur.df; tendencia en niveles y constante en diferencias."
"pib_socios","PIB socios comerciales","d_ln_pib_socios","log_difference","drift",75,4,-3.87497031065763,-3.51,-2.89,-2.58,"rechaza raiz unitaria al 5%","ADF formal con urca::ur.df; tendencia en niveles y constante en diferencias."
"commodities","Indice de precios de commodities","ln_commodity_price_index","log_level","trend",76,4,-2.59148419856214,-4.04,-3.45,-3.15,"no rechaza raiz unitaria al 5%","ADF formal con urca::ur.df; tendencia en niveles y constante en diferencias."
"commodities","Indice de precios de commodities","d_ln_commodity_price_index","log_difference","drift",75,4,-3.73269236743869,-3.51,-2.89,-2.58,"rechaza raiz unitaria al 5%","ADF formal con urca::ur.df; tendencia en niveles y constante en diferencias."
